label,context_bytes,review,extract,classify,retrieve,reconcile,draft,remediate,validate,report,total_units,arity,tokens
null_r1,0,0,0,0,0,0,0,0,0,0,0,0,19901
null_r2,0,0,0,0,0,0,0,0,0,0,0,0,19930
base-review-expense-policy,286,1,0,0,0,0,0,0,0,0,1,1,20319
base-extract-sec-fact,162,0,4,0,0,0,0,0,0,0,4,1,20182
base-classify-complaints,237,0,0,3,0,0,0,0,0,0,3,1,20067
base-retrieve-contract,306,0,0,0,1,0,0,0,0,0,1,1,20094
base-reconcile-ledger,220,0,0,0,0,1,0,0,0,0,1,1,20473
base-draft-collections,0,0,0,0,0,0,1,0,0,0,1,1,20649
base-remediate-metric,123,0,0,0,0,0,0,1,0,0,1,1,20361
base-validate-award,172,0,0,0,0,0,0,0,3,0,3,1,20278
base-report-risk,212,0,0,0,0,0,0,0,0,3,3,1,20520
composite-audit-prep,251,1,2,0,0,0,0,0,1,0,4,3,20474
composite-support-response,169,0,0,1,0,0,1,0,0,0,2,2,20599
scale-review-three-policies,466,3,0,0,0,0,0,0,0,0,3,1,20058
scale-extract-two-fields,105,0,2,0,0,0,0,0,0,0,2,1,20038
scale-classify-six-complaints,339,0,0,6,0,0,0,0,0,0,6,1,20089
scale-retrieve-three-clauses,421,0,0,0,3,0,0,0,0,0,3,1,20118
scale-reconcile-three-invoices,416,0,0,0,0,3,0,0,0,0,3,1,40794
scale-draft-three-messages,0,0,0,0,0,0,3,0,0,0,3,1,20145
scale-remediate-three-metrics,252,0,0,0,0,0,0,3,0,0,3,1,20181
scale-validate-one-check,112,0,0,0,0,0,0,0,1,0,1,1,20028
scale-report-one-aspect,94,0,0,0,0,0,0,0,0,1,1,1,19989
compose-retrieve-draft,221,0,0,0,1,0,1,0,0,0,2,2,20170
compose-extract-reconcile,183,0,2,0,0,1,0,0,0,0,3,2,20078
compose-review-report,164,1,0,0,0,0,0,0,0,1,2,2,20183
