id,origin,status,split,split_group,basic_functionalities,types,parts,composition_level,industry,staff_data_scientist,staff_architect,staff_consultant,staff_software_engineer,estimated_months_to_finish,input_tokens,output_tokens,total_tokens,gpt54_no_cache_usd,client_satisfaction,impact_recognized,roi_satisfaction,future_impact_potential,delivery_quality,pseudo_reward,pseudo_roi_pct
combo2_interests_compare,catalog_designed_simulation,measured_build_passed,test,39fa6155a90947d15252e8f78b48041bf8580e558b50372c65a78649d0fa7783,Personalized discovery + Smart product search,interests + compare,interests + compare,BT,,0.25,0.125,0.125,0.625,0.75,134464,11357,145821,0.5065149999999999,0,5,5,3,5,0.66,183.33333333333334
combo3_extract_feedback_journey,catalog_designed_simulation,measured_build_passed,train,f3b27a08270b28ee7e9c82a154574af5708b308db050e8d66b42a4f10a23c59f,Document automation + Customer insights + Personalized discovery,extract + feedback + journey,extract + feedback + journey,BT,,0.3,0.15,0.15,0.75,1.0,128175,10400,138575,0.4764375,1,3,4,2,0,0.41,255.55555555555554
combo4_deep_semantic_triage_adaptive,catalog_designed_simulation,measured_build_passed,test,3c9e94a36a39856eb80e64f11dbc1f24a8e47d71a8e293fc132ae923c93fede3,Research + Smart product search + AI customer support + Guided onboarding,deep + semantic + triage + adaptive,deep + semantic + triage + adaptive,BT,,0.35,0.175,0.175,0.875,1.25,152607,16332,168939,0.6264975,1,3,3,2,4,0.49,166.66666666666666
real_case_adnoc,real_use_case_reference,reference_only_no_build_measurement,not_eligible,,Research + Document automation,normal + review,normal + review,,,,,,,,,,,,3,0,3,0,5,0.45,-57.142857142857146
real_case_blackstone,real_use_case_reference,reference_only_no_build_measurement,not_eligible,,Research,deep,deep,,,,,,,,,,,,3,2,1,2,2,0.42,17.647058823529413
real_case_carlsberg,real_use_case_reference,reference_only_no_build_measurement,not_eligible,,AI customer support + Research,faq + deep,faq + deep,,,,,,,,,,,,4,0,3,4,0,0.44,25.0
real_case_doh_abudhabi,real_use_case_reference,reference_only_no_build_measurement,not_eligible,,,,,,,,,,,,,,,,1,1,3,1,4,0.37,-35.714285714285715
real_case_elevance,real_use_case_reference,reference_only_no_build_measurement,not_eligible,,Guided onboarding + Document automation,guided + review,guided + review,,,,,,,,,,,,3,5,4,4,3,0.76,-68.75
real_case_fab_email,real_use_case_reference,reference_only_no_build_measurement,not_eligible,,AI customer support + Research,triage + normal,triage + normal,,,,,,,,,,,,5,1,2,3,1,0.52,136.36363636363637
real_case_fab_onboarding,real_use_case_reference,reference_only_no_build_measurement,not_eligible,,Document automation + Document automation + Guided onboarding,extract + review + guided,extract + review + guided,,,,,,,,,,,,3,0,3,5,2,0.46,172.72727272727272
real_case_fab_utilization,real_use_case_reference,reference_only_no_build_measurement,not_eligible,,Personalized discovery,interests,interests,,,,,,,,,,,,4,5,0,4,3,0.66,200.0
real_case_intesa,real_use_case_reference,reference_only_no_build_measurement,not_eligible,,Document automation,extract,extract,,,,,,,,,,,,4,2,0,4,3,0.51,93.75
real_case_mas,real_use_case_reference,reference_only_no_build_measurement,not_eligible,,Smart product search + Document automation,semantic + extract,semantic + extract,,,,,,,,,,,,3,5,0,0,3,0.52,162.5
real_case_mubadala,real_use_case_reference,reference_only_no_build_measurement,not_eligible,,Research + Document automation + Document automation,normal + extract + review,normal + extract + review,,,,,,,,,,,,1,1,5,1,3,0.42,142.85714285714286
real_case_ottobock,real_use_case_reference,reference_only_no_build_measurement,not_eligible,,Document automation + Document automation + AI customer support,extract + review + faq,extract + review + faq,,,,,,,,,,,,3,3,0,1,0,0.35,116.66666666666667
real_case_pepsico,real_use_case_reference,reference_only_no_build_measurement,not_eligible,,,,,,,,,,,,,,,,0,5,2,0,3,0.42,81.81818181818181
real_case_va,real_use_case_reference,reference_only_no_build_measurement,not_eligible,,Document automation + AI customer support,extract + faq,extract + faq,,,,,,,,,,,,0,4,1,3,2,0.36000000000000004,-71.42857142857143
single_adaptive,catalog_designed_simulation,measured_build_passed,train,ffcc3ef5fe0b307894c624c8a5a0006350af75478bd69390708c41404dcfd5fc,Guided onboarding,adaptive,adaptive,BT,,0.2,0.1,0.1,0.5,0.5,190569,11363,201932,0.6468675,4,4,2,4,4,0.72,86.66666666666667
single_behavior,catalog_designed_simulation,measured_build_passed,test,c0e904c3593c04756b65a134701eaa0774373dcdb60755313c29160ee626d347,Personalized discovery,behavior,behavior,BT,,0.2,0.1,0.1,0.5,0.5,147600,8732,156332,0.49998,2,5,2,4,2,0.59,-37.5
single_compare,catalog_designed_simulation,measured_build_passed,train,f9f25d7a558b5d49660cb080b8ea9f890d2fafe283e087f38483616355ee19b8,Smart product search,compare,compare,BT,,0.2,0.1,0.1,0.5,0.5,127269,9026,136295,0.4535624999999999,3,1,4,2,2,0.49,38.888888888888886
single_deep,catalog_designed_simulation,measured_build_passed,train,3bcbdbfeabe66919ef169526ed028d2172dda37348ee1e2e7ea3a45e7727d1b3,Research,deep,deep,BT,,0.2,0.1,0.1,0.5,0.5,198050,15894,213944,0.7335349999999999,0,5,1,4,2,0.43,-36.36363636363637
single_extract,catalog_designed_simulation,measured_build_passed,test,c2a9fa14e70282f3a9365be8dd6fa818e75b0fe5c34aef60cb06c074738f84d0,Document automation,extract,extract,BT,,0.2,0.1,0.1,0.5,0.5,124363,9500,133863,0.4534075000000001,1,4,1,2,4,0.46,-23.076923076923077
single_faq,catalog_designed_simulation,measured_build_passed,train,43ee353474691df1377a140188c922c5bd808df4fff6eb335c4abb90cb841ea1,AI customer support,faq,faq,BT,,0.2,0.1,0.1,0.5,0.5,158312,11453,169765,0.567575,1,5,2,3,0,0.45,73.33333333333333
single_feedback,catalog_designed_simulation,measured_build_passed,train,8d372d111bab3e58274ee9b86f65e19d0d0206605074fc3365713e894c033ceb,Customer insights,feedback,feedback,BT,,0.2,0.1,0.1,0.5,0.5,126013,10082,136095,0.4662625,5,5,2,5,1,0.76,-72.22222222222223
single_guided,catalog_designed_simulation,measured_build_passed,train,b8584edfd6156d9f5889ba6ca821b0e860874a17ae3c1024b5f4cf50a44c0737,Guided onboarding,guided,guided,BT,,0.2,0.1,0.1,0.5,0.5,134370,7620,141990,0.45022499999999993,1,1,2,4,1,0.3,38.46153846153846
single_interests,catalog_designed_simulation,measured_build_passed,train,94fcdb07322666da997f553e417458975b688c194db0cf4394b23e81660c90d5,Personalized discovery,interests,interests,BT,,0.2,0.1,0.1,0.5,0.5,129778,10680,140458,0.484645,1,2,5,1,1,0.41000000000000003,23.529411764705884
single_journey,catalog_designed_simulation,measured_build_passed,train,aadb5d94f4cb1e6a0941c9f5064beb86cc0abdfc680e07998641d27115c795b7,Personalized discovery,journey,journey,BT,,0.2,0.1,0.1,0.5,0.5,147660,10005,157665,0.519225,3,5,4,5,0,0.69,-11.11111111111111
single_normal,catalog_designed_simulation,measured_build_passed,train,794e0d6f28eea81700713b48bbe5cae57ea0a0be1f6da57811f457ad1bd86876,Research,normal,normal,BT,,0.2,0.1,0.1,0.5,0.5,120642,8921,129563,0.43542,2,5,2,3,1,0.54,-40.0
single_review,catalog_designed_simulation,measured_build_passed,train,a96884a032c81cf1c81370de64f329159a5f5b2eaaccc5ae0df3ea1bec5d1cca,Document automation,review,review,BT,,0.2,0.1,0.1,0.5,0.5,126085,8981,135066,0.44992750000000004,3,2,1,2,4,0.48,-35.294117647058826
single_semantic,catalog_designed_simulation,measured_build_passed,train,9e9e81cc52f490feb3a37a5937c72ead75f682a895f7ba2218431f4f2b1b4927,Smart product search,semantic,semantic,BT,,0.2,0.1,0.1,0.5,0.5,125471,9336,134807,0.45371750000000005,0,4,4,1,3,0.47000000000000003,-86.66666666666667
single_sentiment,catalog_designed_simulation,measured_build_passed,train,f79ba67cb9b1aea28c16e543097153c76126e892d90dfdddf40bf8ff4509e034,Customer insights,sentiment,sentiment,BT,,0.2,0.1,0.1,0.5,0.5,177112,8909,186021,0.576415,1,3,4,0,1,0.4,114.28571428571429
single_triage,catalog_designed_simulation,measured_build_passed,test,3d07c4ffddbad0a81e087a52ba3cc79db852cd52ca3f6056b194b1d745401b11,AI customer support,triage,triage,BT,,0.2,0.1,0.1,0.5,0.5,124221,8682,132903,0.4407825,1,3,4,3,1,0.46,300.0
single_web,catalog_designed_simulation,measured_build_passed,train,2a0d5e566c38f5a1eb7d71dd391184dd8a95f48d3f2b99f7f78bfbf340d6bf25,Research,web,web,BT,,0.2,0.1,0.1,0.5,0.5,150134,11535,161669,0.54836,5,2,2,5,4,0.7,31.25
wave2_t001_single_adaptive,catalog_designed_simulation,measured_build_passed,train,ffcc3ef5fe0b307894c624c8a5a0006350af75478bd69390708c41404dcfd5fc,Guided onboarding,adaptive,adaptive,BT,,0.2,0.1,0.1,0.5,0.5,117362,6864,124226,0.39636499999999997,0,0,5,4,4,0.4,58.333333333333336
wave2_t002_combo2_interests_compare,catalog_designed_simulation,measured_build_passed,test,39fa6155a90947d15252e8f78b48041bf8580e558b50372c65a78649d0fa7783,Personalized discovery + Smart product search,interests + compare,interests + compare,BT,,0.25,0.125,0.125,0.625,0.75,130032,9467,139499,0.467085,0,3,1,5,4,0.41,14.285714285714286
wave2_t003_combo3_extract_feedback_journey,catalog_designed_simulation,measured_build_passed,train,f3b27a08270b28ee7e9c82a154574af5708b308db050e8d66b42a4f10a23c59f,Document automation + Customer insights + Personalized discovery,extract + feedback + journey,extract + feedback + journey,BT,,0.3,0.15,0.15,0.75,1.0,142033,12503,154536,0.5426275,1,2,0,2,5,0.35,0.0
wave2_t004_combo4_deep_semantic_triage_adaptive,catalog_designed_simulation,measured_build_passed,test,3c9e94a36a39856eb80e64f11dbc1f24a8e47d71a8e293fc132ae923c93fede3,Research + Smart product search + AI customer support + Guided onboarding,deep + semantic + triage + adaptive,deep + semantic + triage + adaptive,BT,,0.35,0.175,0.175,0.875,1.25,192159,18786,210945,0.7621875,5,1,0,1,4,0.49,-35.294117647058826
wave2_t005_single_behavior,catalog_designed_simulation,measured_build_passed,test,c0e904c3593c04756b65a134701eaa0774373dcdb60755313c29160ee626d347,Personalized discovery,behavior,behavior,BT,,0.2,0.1,0.1,0.5,0.5,116310,6713,123023,0.39147,5,5,1,3,2,0.71,-22.22222222222222
wave2_t006_combo2_web_sentiment,catalog_designed_simulation,measured_build_passed,train,f0e3ae19c34219caacf8b31eea2172aac1731046ffb92d19c54abd8e94d2738c,Research + Customer insights,web + sentiment,web + sentiment,BT,,0.25,0.125,0.125,0.625,0.75,133214,9524,142738,0.475895,3,0,3,0,0,0.30000000000000004,228.57142857142858
wave2_t007_combo3_guided_interests_normal,catalog_designed_simulation,measured_build_passed,train,bd5226807a1aaeb7d74f9bf305ab82cbc836065e2df44918f25218d3d247d3ee,Guided onboarding + Personalized discovery + Research,guided + interests + normal,guided + interests + normal,BT,,0.3,0.15,0.15,0.75,1.0,130997,10036,141033,0.4780325,1,0,4,1,0,0.24,-50.0
